1,segment register instructions,lds
2,segment register instructions,les
3,segment register instructions,lfs
4,segment register instructions,lgs
5,segment register instructions,lss
6,segment register instructions,pop
7,segment register instructions,push
8,I/O instructions,in
9,I/O instructions,ins
10,I/O instructions,out
11,I/O instructions,outs
12,Flag instructions,lahf
13,Flag instructions,sahf
14,Flag instructions,popf
15,Flag instructions,pushf
16,Flag instructions,cmc
17,Flag instructions,clc
18,Flag instructions,stc
19,Flag instructions,cli
20,Flag instructions,sti
21,Flag instructions,cld
22,Flag instructions,std
23,Arithmetic logical instructions,add
24,Arithmetic logical instructions,adc
25,Arithmetic logical instructions,sub
26,Arithmetic logical instructions,sbb
27,Arithmetic logical instructions,cmp
28,Arithmetic logical instructions,inc
29,Arithmetic logical instructions,dec
30,Arithmetic logical instructions,test
31,Arithmetic logical instructions,sal
32,Arithmetic logical instructions,shl
33,Arithmetic logical instructions,sar
34,Arithmetic logical instructions,shr
35,Arithmetic logical instructions,shld
36,Arithmetic logical instructions,shrd
37,Arithmetic logical instructions,not
38,Arithmetic logical instructions,neg
39,Arithmetic logical instructions,bound
40,Arithmetic logical instructions,and
41,Arithmetic logical instructions,or
42,Arithmetic logical instructions,xor
43,Multiply and Divide instructions,imu
44,Multiply and Divide instructions,mul
45,Multiply and Divide instructions,div
46,Multiply and Divide instructions,idiv
47,Conversion instructions,cbtw
48,Conversion instructions,cwtl
49,Conversion instructions,cwtd
50,Conversion instructions,cltd
51,Decimal Arithmetic Instructions,daa
52,Decimal Arithmetic Instructions,das
53,Decimal Arithmetic Instructions,aaa
54,Decimal Arithmetic Instructions,aas
55,Decimal Arithmetic Instructions,aam
56,Decimal Arithmetic Instructions,aad
57,Coprocessor Instructions,wait
58,Coprocessor Instructions,fwait
59,String Instructions,movs
60,String Instructions,cmps
61,String Instructions,stos
62,String Instructions,lods
63,String Instructions,scas
64,String Instructions,xlat
65,String Instructions,rep
66,String Instructions,repnz
67,String Instructions,repz
68,Procedure Call and Retrun Instructions,lcall
69,Procedure Call and Retrun Instructions,call
70,Procedure Call and Retrun Instructions,ret
71,Procedure Call and Retrun Instructions,lret
72,Procedure Call and Retrun Instructions,enter
73,Procedure Call and Retrun Instructions,leave
74,Jump Instructions,jcxz
75,Jump Instructions,loop
76,Jump Instructions,loopnz
77,Jump Instructions,loopz
78,Jump Instructions,jmp
79,Jump Instructions,ljmp
80,Interrupt Instructions,int
81,Interrupt Instructions,into
82,Interrupt Instructions,iret
83,Protection Model Instructions,sldt
84,Protection Model Instructions,str
85,Protection Model Instructions,lldt
86,Protection Model Instructions,ltr
87,Protection Model Instructions,verr
88,Protection Model Instructions,verw
89,Protection Model Instructions,sgdt
90,Protection Model Instructions,sidt
91,Protection Model Instructions,lgdt
92,Protection Model Instructions,lidt
93,Protection Model Instructions,smsw
94,Protection Model Instructions,lmsw
95,Protection Model Instructions,lar
96,Protection Model Instructions,lsl
97,Protection Model Instructions,clts
98,Protection Model Instructions,arpl
99,Bit Instructions,bsf
100,Bit Instructions,bsr
101,Bit Instructions,bt
102,Bit Instructions,btc
103,Bit Instructions,btr
104,Bit Instructions,bts
105,Exchange Instructions,cmpxchg
106,Floating-Point Transcendental Instructions,fsin
107,Floating-Point Transcendental Instructions,fcos
108,Floating-Point Transcendental Instructions,fsincos
109,Floating-Point Constant Instructions,fld
110,Porcessor Control Floating-Point Instructions,fldcw
111,Porcessor Control Floating-Point Instructions,fldenv
112,Miscellaneous Floating-Point Instructions,fprem
113,Floating-Point Comparison Instructions,fucom
114,Floating-Point Comparison Instructions,fucomp
115,Floating-Point Comparison Instructions,fucompp
116,Load and Move Instructions,lea
117,Load and Move Instructions,mov
118,Load and Move Instructions,movw
119,Load and Move Instructions,movsx
120,Load and Move Instructions,movzb
121,Pop Instructions,popa
122,Push Instructions,pusha
123,Rotate Instructions,rcl
124,Rotate Instructions,rcr
125,Rotate Instructions,rol
126,Rotate Instructions,ror
127,Byte Instructions,setcc
128,Byte Instructions,bswap
129,Exchange Instructions,xadd
130,Exchange Instructions,xchg
131,Miscellaneous Instructions,wbinvd
132,Miscellaneous Instructions,invd
133,Miscellaneous Instructions,invlpg
134,Miscellaneous Instructions,lock
135,Miscellaneous Instructions,nop
136,Miscellaneous Instructions,hlt
137,Real Transfer Instructions ,fld
138,Real Transfer Instructions ,fst
139,Real Transfer Instructions ,fstp
140,Real Transfer Instructions ,fxch
141,Integer Transfer Instructions,fild
142,Integer Transfer Instructions,fist
143,Integer Transfer Instructions,fistp
144,Packed Decimal Transfer Instructions,fbld
145,Packed Decimal Transfer Instructions,fbstp
146,Addition Instructions,fadd
147,Addition Instructions,faddp
148,Addition Instructions,fiadd
149,Subtraction Instructions,fsub
150,Subtraction Instructions,fsubp
151,Subtraction Instructions,fsubr
152,Subtraction Instructions,fsubrp
153,Subtraction Instructions,fisubrp
154,Subtraction Instructions,fisubr
155,Multiplication Instructions,fmul
156,Multiplication Instructions,fmulp
157,Multiplication Instructions,fimul
158,Division Instructions,fdiv
159,Division Instructions,fdivp
160,Division Instructions,fdivr
161,Division Instructions,fdivrp
162,Division Instructions,fidiv
163,Division Instructions,fidivr
164,Miscellaneous Arithmetic Operations,fsqrt
165,Miscellaneous Arithmetic Operations,fscale
166,Miscellaneous Arithmetic Operations,fprem
167,Miscellaneous Arithmetic Operations,frndint
168,Miscellaneous Arithmetic Operations,fxtract
169,Miscellaneous Arithmetic Operations,fabs
170,Miscellaneous Arithmetic Operations,fchs
171,Comparison Instructions,fcom
172,Comparison Instructions,fcomp
173,Comparison Instructions,fcompp
174,Comparison Instructions,ficom
175,Comparison Instructions,ficomp
176,Comparison Instructions,ftst
177,Comparison Instructions,fxam
178,Transcendental Instructions,fptan
179,Transcendental Instructions,fatan
180,Transcendental Instructions,f2xml
181,Transcendental Instructions,fyl2x
182,Transcendental Instructions,fyl2xp1
183,Constant Instructions,fldl2e
184,Constant Instructions,fldl2t
185,Constant Instructions,fldlg2
186,Constant Instructions,fldln2
187,Constant Instructions,fldpi
188,Constant Instructions,fldz
189,Processor Control Instructions,finit
190,Processor Control Instructions,fnint
191,Processor Control Instructions,fnop
192,Processor Control Instructions,fsave
193,Processor Control Instructions,fnsave
194,Processor Control Instructions,fstcw
195,Processor Control Instructions,fnstcw
196,Processor Control Instructions,fstenv
197,Processor Control Instructions,fnstenv
198,Processor Control Instructions,fstsw
199,Processor Control Instructions,fnstsw
200,Processor Control Instructions,frstor
201,Processor Control Instructions,fwait
202,Processor Control Instructions,wait
203,Processor Control Instructions,fclex
204,Processor Control Instructions,fnclex
205,Processor Control Instructions,fdecstp
206,Processor Control Instructions,ffree
207,Processor Control Instructions,fincstp