No.,section,index_entry
1,Thread-specific Data,*pthread_getspecific
2,Resizing the Data Segment,*sbrk
3,Semaphores,*sem_open
4,Termination Internals,_exit
5,Termination Internals,_Exit
6,Flushing Buffers,_flushlbf
7,Case Conversion,_tolower
8,Case Conversion,_toupper
9,Controlling Buffering,__fbufsize
10,Controlling Buffering,__flbf
11,Controlling Buffering,__fpending
12,Flushing Buffers,__fpurge
13,Opening Streams,__freadable
14,Opening Streams,__freading
15,Streams and Threads,__fsetlocking
16,Opening Streams,__fwritable
17,Opening Streams,__fwriting
18,PowerPC,__ppc_get_timebase
19,PowerPC,__ppc_get_timebase_freq
20,PowerPC,__ppc_mdoio
21,PowerPC,__ppc_mdoom
22,PowerPC,__ppc_set_ppr_low
23,PowerPC,__ppc_set_ppr_med
24,PowerPC,__ppc_set_ppr_med_high
25,PowerPC,__ppc_set_ppr_med_low
26,PowerPC,__ppc_set_ppr_very_low
27,PowerPC,__ppc_yield
28,RISC-V,__riscv_flush_icache
29,Argument Macros,__va_copy
30,Encode Binary Data,a64l
31,Aborting a Program,abort
32,Absolute Value,abs
33,Accepting Connections,accept
34,Testing File Access,access
35,Inverse Trig Functions,acos
36,Inverse Trig Functions,acosf
37,Inverse Trig Functions,acosfN
38,Inverse Trig Functions,acosfNx
39,Hyperbolic Functions,acosh
40,Hyperbolic Functions,acoshf
41,Hyperbolic Functions,acoshfN
42,Hyperbolic Functions,acoshfNx
43,Hyperbolic Functions,acoshl
44,Inverse Trig Functions,acosl
45,mtab,addmntent
46,Adding Severity Classes,addseverity
47,Setting and Adjusting the Time,adjtime
48,Setting and Adjusting the Time,adjtimex
49,Cancel AIO Operations,aio_cancel
50,Cancel AIO Operations,aio_cancel64
51,Status of AIO Operations,aio_error
52,Status of AIO Operations,aio_error64
53,Synchronizing AIO Operations,aio_fsync
54,Synchronizing AIO Operations,aio_fsync64
55,Configuration of AIO,aio_init
56,Asynchronous Reads/Writes,aio_read
57,Asynchronous Reads/Writes,aio_read64
58,Status of AIO Operations,aio_return
59,Status of AIO Operations,aio_return64
60,Synchronizing AIO Operations,aio_suspend
61,Synchronizing AIO Operations,aio_suspend64
62,Asynchronous Reads/Writes,aio_write
63,Asynchronous Reads/Writes,aio_write64
64,Setting an Alarm,alarm
65,Aligned Memory Blocks,aligned_alloc
66,Variable Size Automatic,alloca
67,Scanning Directory Content,alphasort
68,Scanning Directory Content,alphasort64
69,Argp Helper Functions,argp_error
70,Argp Helper Functions,argp_failure
71,Argp Help,argp_help
72,Argp,argp_parse
73,Argp Helper Functions,argp_state_help
74,Argp Helper Functions,argp_usage
75,Argz Functions,argz_add
76,Argz Functions,argz_add_sep
77,Argz Functions,argz_append
78,Argz Functions,argz_count
79,Argz Functions,argz_create
80,Argz Functions,argz_create_sep
81,Argz Functions,argz_delete
82,Argz Functions,argz_extract
83,Argz Functions,argz_insert
84,Argz Functions,argz_next
85,Argz Functions,argz_replace
86,Argz Functions,argz_stringify
87,Formatting Calendar Time,asctime
88,Formatting Calendar Time,asctime_r
89,Inverse Trig Functions,asin
90,Inverse Trig Functions,asinf
91,Inverse Trig Functions,asinfN
92,Inverse Trig Functions,asinfNx
93,Hyperbolic Functions,asinh
94,Hyperbolic Functions,asinhf
95,Hyperbolic Functions,asinhfN
96,Hyperbolic Functions,asinhfNx
97,Hyperbolic Functions,asinhl
98,Inverse Trig Functions,asinl
99,Dynamic Output,asprintf
100,Consistency Checking,assert
101,Consistency Checking,assert_perror
102,Inverse Trig Functions,atan
103,Inverse Trig Functions,atan2
104,Inverse Trig Functions,atan2f
105,Inverse Trig Functions,atan2fN
106,Inverse Trig Functions,atan2fNx
107,Inverse Trig Functions,atan2l
108,Inverse Trig Functions,atanf
109,Inverse Trig Functions,atanfN
110,Inverse Trig Functions,atanfNx
111,Hyperbolic Functions,atanh
112,Hyperbolic Functions,atanhf
113,Hyperbolic Functions,atanhfN
114,Hyperbolic Functions,atanhfNx
115,Hyperbolic Functions,atanhl
116,Inverse Trig Functions,atanl
117,Cleanups on Exit,atexit
118,Parsing of Floats,atof
119,Parsing of Integers,atoi
120,Parsing of Integers,atol
121,Parsing of Integers,atoll
122,Backtraces,backtrace
123,Backtraces,backtrace_symbols
124,Backtraces,backtrace_symbols_fd
125,Finding Tokens in a String,basename
126,Finding Tokens in a String,basename
127,String/Array Comparison,bcmp
128,Copying Strings and Arrays,bcopy
129,Setting Address,bind
130,Locating gettext catalog,bindtextdomain
131,Charset conversion in gettext,bind_textdomain_codeset
132,Resizing the Data Segment,brk
133,Array Search Function,bsearch
134,Converting a Character,btowc
135,Copying Strings and Arrays,bzero
136,Absolute Value,cabs
137,Absolute Value,cabsf
138,Absolute Value,cabsfN
139,Absolute Value,cabsfNx
140,Absolute Value,cabsl
141,Inverse Trig Functions,cacos
142,Inverse Trig Functions,cacosf
143,Inverse Trig Functions,cacosfN
144,Inverse Trig Functions,cacosfNx
145,Hyperbolic Functions,cacosh
146,Hyperbolic Functions,cacoshf
147,Hyperbolic Functions,cacoshfN
148,Hyperbolic Functions,cacoshfNx
149,Hyperbolic Functions,cacoshl
150,Inverse Trig Functions,cacosl
151,Allocating Cleared Space,calloc
152,Call Once,call_once
153,FP Bit Twiddling,canonicalize
154,FP Bit Twiddling,canonicalizef
155,FP Bit Twiddling,canonicalizefN
156,FP Bit Twiddling,canonicalizefNx
157,FP Bit Twiddling,canonicalizel
158,Symbolic Links,canonicalize_file_name
159,Operations on Complex,carg
160,Operations on Complex,cargf
161,Operations on Complex,cargfN
162,Operations on Complex,cargfNx
163,Operations on Complex,cargl
164,Inverse Trig Functions,casin
165,Inverse Trig Functions,casinf
166,Inverse Trig Functions,casinfN
167,Inverse Trig Functions,casinfNx
168,Hyperbolic Functions,casinh
169,Hyperbolic Functions,casinhf
170,Hyperbolic Functions,casinhfN
171,Hyperbolic Functions,casinhfNx
172,Hyperbolic Functions,casinhl
173,Inverse Trig Functions,casinl
174,Inverse Trig Functions,catan
175,Inverse Trig Functions,catanf
176,Inverse Trig Functions,catanfN
177,Inverse Trig Functions,catanfNx
178,Hyperbolic Functions,catanh
179,Hyperbolic Functions,catanhf
180,Hyperbolic Functions,catanhfN
181,Hyperbolic Functions,catanhfNx
182,Hyperbolic Functions,catanhl
183,Inverse Trig Functions,catanl
184,The catgets Functions,catclose
185,The catgets Functions,catgets
186,The catgets Functions,catopen
187,Exponents and Logarithms,cbrt
188,Exponents and Logarithms,cbrtf
189,Exponents and Logarithms,cbrtfN
190,Exponents and Logarithms,cbrtfNx
191,Exponents and Logarithms,cbrtl
192,Trig Functions,ccos
193,Trig Functions,ccosf
194,Trig Functions,ccosfN
195,Trig Functions,ccosfNx
196,Hyperbolic Functions,ccosh
197,Hyperbolic Functions,ccoshf
198,Hyperbolic Functions,ccoshfN
199,Hyperbolic Functions,ccoshfNx
200,Hyperbolic Functions,ccoshl
201,Trig Functions,ccosl
202,Rounding Functions,ceil
203,Rounding Functions,ceilf
204,Rounding Functions,ceilfN
205,Rounding Functions,ceilfNx
206,Rounding Functions,ceill
207,Exponents and Logarithms,cexp
208,Exponents and Logarithms,cexpf
209,Exponents and Logarithms,cexpfN
210,Exponents and Logarithms,cexpfNx
211,Exponents and Logarithms,cexpl
212,Line Speed,cfgetispeed
213,Line Speed,cfgetospeed
214,Noncanonical Input,cfmakeraw
215,Line Speed,cfsetispeed
216,Line Speed,cfsetospeed
217,Line Speed,cfsetspeed
218,Working Directory,chdir
219,Setting Permissions,chmod
220,Setting Permissions,chmod
221,File Owner,chown
222,Operations on Complex,cimag
223,Operations on Complex,cimagf
224,Operations on Complex,cimagfN
225,Operations on Complex,cimagfNx
226,Operations on Complex,cimagl
227,Environment Access,clearenv
228,Error Recovery,clearerr
229,Error Recovery,clearerr_unlocked
230,CPU Time,clock
231,Getting the Time,clock_getres
232,Getting the Time,clock_gettime
233,Setting and Adjusting the Time,clock_settime
234,Exponents and Logarithms,clog
235,Exponents and Logarithms,clog10
236,Exponents and Logarithms,clog10f
237,Exponents and Logarithms,clog10fN
238,Exponents and Logarithms,clog10fNx
239,Exponents and Logarithms,clog10l
240,Exponents and Logarithms,clogf
241,Exponents and Logarithms,clogfN
242,Exponents and Logarithms,clogfNx
243,Exponents and Logarithms,clogl
244,Opening and Closing Files,close
245,Reading/Closing Directory,closedir
246,closelog,closelog
247,ISO C Condition Variables,cnd_broadcast
248,ISO C Condition Variables,cnd_destroy
249,ISO C Condition Variables,cnd_init
250,ISO C Condition Variables,cnd_signal
251,ISO C Condition Variables,cnd_timedwait
252,ISO C Condition Variables,cnd_wait
253,String Parameters,confstr
254,Operations on Complex,conj
255,Operations on Complex,conjf
256,Operations on Complex,conjfN
257,Operations on Complex,conjfNx
258,Operations on Complex,conjl
259,Connecting,connect
260,Actions in the NSS configuration,continue
261,FP Bit Twiddling,copysign
262,FP Bit Twiddling,copysignf
263,FP Bit Twiddling,copysignfN
264,FP Bit Twiddling,copysignfNx
265,FP Bit Twiddling,copysignl
266,Copying File Data,copy_file_range
267,Trig Functions,cos
268,Trig Functions,cosf
269,Trig Functions,cosfN
270,Trig Functions,cosfNx
271,Hyperbolic Functions,cosh
272,Hyperbolic Functions,coshf
273,Hyperbolic Functions,coshfN
274,Hyperbolic Functions,coshfNx
275,Hyperbolic Functions,coshl
276,Trig Functions,cosl
277,Exponents and Logarithms,cpow
278,Exponents and Logarithms,cpowf
279,Exponents and Logarithms,cpowfN
280,Exponents and Logarithms,cpowfNx
281,Exponents and Logarithms,cpowl
282,Operations on Complex,cproj
283,Operations on Complex,cprojf
284,Operations on Complex,cprojfN
285,Operations on Complex,cprojfNx
286,Operations on Complex,cprojl
287,CPU Affinity,CPU_CLR
288,CPU Affinity,CPU_ISSET
289,CPU Affinity,CPU_SET
290,CPU Affinity,CPU_ZERO
291,Operations on Complex,creal
292,Operations on Complex,crealf
293,Operations on Complex,crealfN
294,Operations on Complex,crealfNx
295,Operations on Complex,creall
296,Opening and Closing Files,creat
297,Opening and Closing Files,creat64
298,Passphrase Storage,crypt
299,Passphrase Storage,crypt_r
300,Trig Functions,csin
301,Trig Functions,csinf
302,Trig Functions,csinfN
303,Trig Functions,csinfNx
304,Hyperbolic Functions,csinh
305,Hyperbolic Functions,csinhf
306,Hyperbolic Functions,csinhfN
307,Hyperbolic Functions,csinhfNx
308,Hyperbolic Functions,csinhl
309,Trig Functions,csinl
310,Exponents and Logarithms,csqrt
311,Exponents and Logarithms,csqrtf
312,Exponents and Logarithms,csqrtfN
313,Exponents and Logarithms,csqrtfNx
314,Exponents and Logarithms,csqrtl
315,Trig Functions,ctan
316,Trig Functions,ctanf
317,Trig Functions,ctanfN
318,Trig Functions,ctanfNx
319,Hyperbolic Functions,ctanh
320,Hyperbolic Functions,ctanhf
321,Hyperbolic Functions,ctanhfN
322,Hyperbolic Functions,ctanhfNx
323,Hyperbolic Functions,ctanhl
324,Trig Functions,ctanl
325,Identifying the Terminal,ctermid
326,Formatting Calendar Time,ctime
327,Formatting Calendar Time,ctime_r
328,Who Logged In,cuserid
329,Misc FP Arithmetic,daddl
330,Translation with gettext,dcgettext
331,Advanced gettext functions,dcngettext
332,Misc FP Arithmetic,ddivl
333,Translation with gettext,dgettext
334,Calculating Elapsed Time,difftime
335,Opening a Directory,dirfd
336,Finding Tokens in a String,dirname
337,Integer Division,div
338,Misc FP Arithmetic,dmull
339,Advanced gettext functions,dngettext
340,SVID Random,drand48
341,SVID Random,drand48_r
342,Remainder Functions,drem
343,Remainder Functions,dremf
344,Remainder Functions,dreml
345,Misc FP Arithmetic,dsubl
346,Directory Entries,DTTOIF
347,Duplicating Descriptors,dup
348,Duplicating Descriptors,dup2
349,System V Number Conversion,ecvt
350,System V Number Conversion,ecvt_r
351,fstab,endfsent
352,Scanning All Groups,endgrent
353,Host Names,endhostent
354,mtab,endmntent
355,Networks Database,endnetent
356,Lookup Netgroup,endnetgrent
357,Protocols Database,endprotoent
358,Scanning All Users,endpwent
359,Services Database,endservent
360,Manipulating the Database,endutent
361,XPG Functions,endutxent
362,Envz Functions,envz_add
363,Envz Functions,envz_entry
364,Envz Functions,envz_get
365,Envz Functions,envz_merge
366,Envz Functions,envz_remove
367,Envz Functions,envz_strip
368,SVID Random,erand48
369,SVID Random,erand48_r
370,Special Functions,erf
371,Special Functions,erfc
372,Special Functions,erfcf
373,Special Functions,erfcfN
374,Special Functions,erfcfNx
375,Special Functions,erfcl
376,Special Functions,erff
377,Special Functions,erffN
378,Special Functions,erffNx
379,Special Functions,erfl
380,Error Messages,err
381,Error Messages,error
382,Error Messages,error_at_line
383,Error Messages,errx
384,Executing a File,execl
385,Executing a File,execle
386,Executing a File,execlp
387,Executing a File,execv
388,Executing a File,execve
389,Executing a File,execvp
390,Normal Termination,exit
391,Exponents and Logarithms,exp
392,Exponents and Logarithms,exp10
393,Exponents and Logarithms,exp10f
394,Exponents and Logarithms,exp10fN
395,Exponents and Logarithms,exp10fNx
396,Exponents and Logarithms,exp10l
397,Exponents and Logarithms,exp2
398,Exponents and Logarithms,exp2f
399,Exponents and Logarithms,exp2fN
400,Exponents and Logarithms,exp2fNx
401,Exponents and Logarithms,exp2l
402,Exponents and Logarithms,expf
403,Exponents and Logarithms,expfN
404,Exponents and Logarithms,expfNx
405,Exponents and Logarithms,expl
406,Erasing Sensitive Data,explicit_bzero
407,Exponents and Logarithms,expm1
408,Exponents and Logarithms,expm1f
409,Exponents and Logarithms,expm1fN
410,Exponents and Logarithms,expm1fNx
411,Exponents and Logarithms,expm1l
412,Absolute Value,fabs
413,Absolute Value,fabsf
414,Absolute Value,fabsfN
415,Absolute Value,fabsfNx
416,Absolute Value,fabsl
417,Misc FP Arithmetic,fadd
418,Misc FP Arithmetic,faddl
419,Working Directory,fchdir
420,Setting Permissions,fchmod
421,File Owner,fchown
422,Closing Streams,fclose
423,Closing Streams,fcloseall
424,Control Operations,fcntl
425,System V Number Conversion,fcvt
426,System V Number Conversion,fcvt_r
427,Synchronizing I/O,fdatasync
428,Misc FP Arithmetic,fdim
429,Misc FP Arithmetic,fdimf
430,Misc FP Arithmetic,fdimfN
431,Misc FP Arithmetic,fdimfNx
432,Misc FP Arithmetic,fdiml
433,Misc FP Arithmetic,fdiv
434,Misc FP Arithmetic,fdivl
435,Descriptors and Streams,fdopen
436,Opening a Directory,fdopendir
437,Waiting for I/O,FD_CLR
438,Waiting for I/O,FD_ISSET
439,Waiting for I/O,FD_SET
440,Waiting for I/O,FD_ZERO
441,Status bit operations,feclearexcept
442,Control Functions,fedisableexcept
443,Control Functions,feenableexcept
444,Control Functions,fegetenv
445,Control Functions,fegetexcept
446,Status bit operations,fegetexceptflag
447,Control Functions,fegetmode
448,Rounding,fegetround
449,Control Functions,feholdexcept
450,EOF and Errors,feof
451,EOF and Errors,feof_unlocked
452,Status bit operations,feraiseexcept
453,EOF and Errors,ferror
454,EOF and Errors,ferror_unlocked
455,Control Functions,fesetenv
456,Status bit operations,fesetexcept
457,Status bit operations,fesetexceptflag
458,Control Functions,fesetmode
459,Rounding,fesetround
460,Status bit operations,fetestexcept
461,Status bit operations,fetestexceptflag
462,Control Functions,feupdateenv
463,Flushing Buffers,fflush
464,Flushing Buffers,fflush_unlocked
465,Character Input,fgetc
466,Character Input,fgetc_unlocked
467,Scanning All Groups,fgetgrent
468,Scanning All Groups,fgetgrent_r
469,Portable Positioning,fgetpos
470,Portable Positioning,fgetpos64
471,Scanning All Users,fgetpwent
472,Scanning All Users,fgetpwent_r
473,Line Input,fgets
474,Line Input,fgets_unlocked
475,Character Input,fgetwc
476,Character Input,fgetwc_unlocked
477,Line Input,fgetws
478,Line Input,fgetws_unlocked
479,Descriptors and Streams,fileno
480,Descriptors and Streams,fileno_unlocked
481,Floating Point Classes,finite
482,Floating Point Classes,finitef
483,Floating Point Classes,finitel
484,Streams and Threads,flockfile
485,Rounding Functions,floor
486,Rounding Functions,floorf
487,Rounding Functions,floorfN
488,Rounding Functions,floorfNx
489,Rounding Functions,floorl
490,Misc FP Arithmetic,fma
491,Misc FP Arithmetic,fMaddfN
492,Misc FP Arithmetic,fMaddfNx
493,Misc FP Arithmetic,fmaf
494,Misc FP Arithmetic,fmafN
495,Misc FP Arithmetic,fmafNx
496,Misc FP Arithmetic,fmal
497,Misc FP Arithmetic,fmax
498,Misc FP Arithmetic,fmaxf
499,Misc FP Arithmetic,fmaxfN
500,Misc FP Arithmetic,fmaxfNx
501,Misc FP Arithmetic,fmaxl
502,Misc FP Arithmetic,fmaxmag
503,Misc FP Arithmetic,fmaxmagf
504,Misc FP Arithmetic,fmaxmagfN
505,Misc FP Arithmetic,fmaxmagfNx
506,Misc FP Arithmetic,fmaxmagl
507,Misc FP Arithmetic,fMdivfN
508,Misc FP Arithmetic,fMdivfNx
509,String Streams,fmemopen
510,Misc FP Arithmetic,fmin
511,Misc FP Arithmetic,fminf
512,Misc FP Arithmetic,fminfN
513,Misc FP Arithmetic,fminfNx
514,Misc FP Arithmetic,fminl
515,Misc FP Arithmetic,fminmag
516,Misc FP Arithmetic,fminmagf
517,Misc FP Arithmetic,fminmagfN
518,Misc FP Arithmetic,fminmagfNx
519,Misc FP Arithmetic,fminmagl
520,Misc FP Arithmetic,fMmulfN
521,Misc FP Arithmetic,fMmulfNx
522,Remainder Functions,fmod
523,Remainder Functions,fmodf
524,Remainder Functions,fmodfN
525,Remainder Functions,fmodfNx
526,Remainder Functions,fmodl
527,Misc FP Arithmetic,fMsubfN
528,Misc FP Arithmetic,fMsubfNx
529,Printing Formatted Messages,fmtmsg
530,Misc FP Arithmetic,fmul
531,Misc FP Arithmetic,fmull
532,Misc FP Arithmetic,fMxaddfN
533,Misc FP Arithmetic,fMxaddfNx
534,Misc FP Arithmetic,fMxdivfN
535,Misc FP Arithmetic,fMxdivfNx
536,Misc FP Arithmetic,fMxmulfN
537,Misc FP Arithmetic,fMxmulfNx
538,Misc FP Arithmetic,fMxsubfN
539,Misc FP Arithmetic,fMxsubfNx
540,Wildcard Matching,fnmatch
541,Opening Streams,fopen
542,Opening Streams,fopen64
543,Streams and Cookies,fopencookie
544,Creating a Process,fork
545,Pseudo-Terminal Pairs,forkpty
546,Pathconf,fpathconf
547,Floating Point Classes,fpclassify
548,Formatted Output Functions,fprintf
549,Simple Output,fputc
550,Simple Output,fputc_unlocked
551,Simple Output,fputs
552,Simple Output,fputs_unlocked
553,Simple Output,fputwc
554,Simple Output,fputwc_unlocked
555,Simple Output,fputws
556,Simple Output,fputws_unlocked
557,Block Input/Output,fread
558,Block Input/Output,fread_unlocked
559,Freeing after Malloc,free
560,Opening Streams,freopen
561,Opening Streams,freopen64
562,Normalization Functions,frexp
563,Normalization Functions,frexpf
564,Normalization Functions,frexpfN
565,Normalization Functions,frexpfNx
566,Normalization Functions,frexpl
567,Rounding Functions,fromfp
